solute_smiles,solvent_smiles
COC(=O)CN1C(CC2=CC=CC=C2)C(=O)N(C1=O)C1=CC=CC=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CN(C)C(=S)SSC(=S)N(C)C,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CCCCCCCCCCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CC(N(CCC(O)=O)C(C)=O)C(O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
[H][C@@]12OC3=C4C(C[C@H]5N(C)CC[C@@]14[C@@]5([H])CC[C@@H]2OC(C)=O)=CC=C3OC,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
O=C1OC(=O)C2=CC=CC=C12,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1(O2)C(C)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CCCCCCCCCCCCCC(=O)CCCCCCCCC(O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
N#CSCCSC#N,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
NC1=C(NC2=CC=CC=C2)C=CC(Cl)=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CC(N(CCC#N)CCC#N)C(O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CSC1=N[C@](C)(C(=O)N1NC1=CC=CC=C1)C1=CC=CC=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
[H][C@@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@@H](O)C1=CC=NC2=CC=C(OC)C=C12,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CC(=O)OC[C@H]1O[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
NC1=C(NC2=CC(Cl)=CC=C2)C=CC(Cl)=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CCCCCCCC(N)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
OC1=C2C=CC=CC2=C(O)C(=C1)P1(=O)OC2=CC=CC=C2C2=CC=CC=C12,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CN1C2C(N(C)C1=O)N(C)S(=O)(=O)N2C,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
O=C(N=N#N)C1=CC(=CC=C1)N(=O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
[H][C@](C)(\C=C\[C@@]([H])(C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)C(C)C,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
N#C\C(=N/NC1=CC=CC=C1)C#N,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
ClC1=NC(Cl)=NC(Cl)=N1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
N#CSC=CSC#N,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
OC1=CC=C2C=CC=CC2=C1\N=N\C1=CC=CC=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
NC(=O)C1=CC=C(C=C1)S(N)(=O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
C1=CC2=CC3=CC=CC=C3C=C2C=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CC(OCC(N)=O)C(N)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
NC(=O)C1=CC(O)=CC=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CC(=O)OCC(COC(=O)C1=CC=C(C=C1)N(=O)=O)OC(=O)C1=CC=C(C=C1)N(=O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
COC1=C(C(=CC(=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
O=C(OCC(COC(=O)C1=CC=C(C=C1)N(=O)=O)OC(=O)C1=CC=CC=C1)C1=CC=C(C=C1)N(=O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CO\C=C(\C(C)=O)C1=C(OC2=CC(OC3=C(C=CC=C3)C#N)=NC=N2)C=CC=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
COCN1C(=O)C2=C(C=CC=C2)C1=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CC1(C)[C@H](CC[C@@]1(C)C(O)=O)C(N)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CCC[C@H]1CC2=C(C[C@@H](CC)CC3=C1C(=O)OC3=O)C(=O)OC2=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
ClC1=CC=C(Cl)C=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
O=C1OC(NC2=CC(=CC=C2)N(=O)=O)(NC2=CC(=CC=C2)N(=O)=O)C2=CC=CC=C12,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
